文件1,文件2,相似度
sub005,sub148,0.5958
sub005,sub149,0.6189
sub005,sub150,0.7286
sub005,sub151,0.3356
sub005,sub152,0.7083
sub005,sub153,0.4279
sub005,sub154,0.6080
sub005,sub155,0.4160
sub005,sub156,0.3792
sub005,sub157,0.7674
sub005,sub158,0.5105
sub005,sub159,0.6929
sub005,sub160,0.5172
sub005,sub161,0.6157
sub005,sub162,0.4544
sub005,sub163,0.6549
sub005,sub164,0.3631
sub005,sub165,0.2949
sub005,sub166,0.5983
sub005,sub167,0.4715
sub005,sub168,0.7367
sub005,sub169,0.6914
sub005,sub170,0.5821
sub005,sub171,0.6206
sub005,sub172,0.5053
sub005,sub173,0.5681
sub005,sub174,0.4383
sub006,sub007,0.5325
sub006,sub008,0.6863
sub006,sub009,0.6664
sub006,sub010,0.6717
sub006,sub011,0.5510
sub006,sub012,0.6127
sub006,sub013,0.8028
sub006,sub014,0.7086
sub006,sub015,0.6746
sub006,sub016,0.4115
sub006,sub017,0.4700
sub006,sub018,0.5035
sub006,sub019,0.5685
sub006,sub020,0.7097
sub006,sub021,0.5877
sub006,sub022,0.5432
sub006,sub023,0.6570
sub006,sub024,0.5293
sub006,sub025,0.6150
sub006,sub026,0.5589
sub006,sub027,0.5571
sub006,sub028,0.6687
sub006,sub029,0.5306
sub006,sub031,0.7358
sub006,sub032,0.6570
sub006,sub033,0.6736
sub006,sub034,0.7020
sub006,sub035,0.6412
sub006,sub036,0.6109
sub006,sub037,0.6519
sub006,sub038,0.4825
sub006,sub039,0.7420
sub006,sub040,0.8109
sub006,sub041,0.6254
sub006,sub042,0.6789
sub006,sub043,0.4500
sub006,sub044,0.7264
sub006,sub045,0.5749
sub006,sub048,0.5368
sub006,sub049,0.7382
sub006,sub050,0.7345
sub006,sub051,0.4450
sub006,sub052,0.7031
sub006,sub053,0.5633
sub006,sub054,0.7983
sub006,sub055,0.6445
sub006,sub056,0.7853
sub006,sub057,0.7468
sub006,sub058,0.4751
sub006,sub059,0.4653
sub006,sub060,0.5935
sub006,sub061,0.7272
sub006,sub062,0.6772
sub006,sub063,0.4979
sub006,sub064,0.4704
sub006,sub065,0.5236
sub006,sub066,0.6358
sub006,sub067,0.6764
sub006,sub068,0.6381
sub006,sub069,0.6938
sub006,sub070,0.7699
sub006,sub071,0.5673
sub006,sub072,0.4957
sub006,sub073,0.6529
sub006,sub074,0.6742
sub006,sub075,0.5328
sub006,sub076,0.4440
sub006,sub077,0.3957
sub006,sub078,0.6455
sub006,sub079,0.7070
sub006,sub080,0.7608
sub006,sub081,0.7323
sub006,sub082,0.6567
sub006,sub083,0.6663
sub006,sub084,0.6727
sub006,sub085,0.7914
sub006,sub086,0.6397
sub006,sub087,0.7688
sub006,sub088,0.6238
sub006,sub089,0.4381
sub006,sub090,0.7203
sub006,sub091,0.6266
sub006,sub092,0.4274
sub006,sub093,0.4441
sub006,sub094,0.5328
sub006,sub095,0.4138
sub006,sub096,0.5484
sub006,sub097,0.6781
sub006,sub098,0.5893
sub006,sub099,0.6335
sub006,sub100,0.5615
sub006,sub101,0.5166
sub006,sub102,0.7493
sub006,sub103,0.5211
sub006,sub104,0.8086
sub006,sub105,0.3760
sub006,sub106,0.5755
sub006,sub108,0.7126
sub006,sub109,0.8003
sub006,sub110,0.4680
sub006,sub111,0.6844
sub006,sub112,0.6633
sub006,sub113,0.5388
sub006,sub114,0.6665
sub006,sub115,0.5128
sub006,sub117,0.6214
sub006,sub119,0.6304
sub006,sub120,0.6892
sub006,sub121,0.6566
sub006,sub122,0.4624
sub006,sub123,0.5415
sub006,sub124,0.6572
sub006,sub125,0.7694
sub006,sub126,0.6695
sub006,sub127,0.6050
sub006,sub128,0.6656
sub006,sub129,0.5923
sub006,sub130,0.6833
sub006,sub131,0.6182
sub006,sub132,0.7586
sub006,sub133,0.5363
sub006,sub134,0.6495
sub006,sub135,0.6428
sub006,sub136,0.6083
sub006,sub137,0.4463
sub006,sub138,0.6029
sub006,sub139,0.5863
sub006,sub140,0.8222
sub006,sub141,0.7761
sub006,sub142,0.6689
sub006,sub143,0.5736
sub006,sub144,0.6154
sub006,sub145,0.5495
sub006,sub146,0.4285
sub006,sub147,0.6207
sub006,sub148,0.6151
sub006,sub149,0.6535
sub006,sub150,0.5966
sub006,sub151,0.4929
sub006,sub152,0.7637
sub006,sub153,0.5096
sub006,sub154,0.6264
sub006,sub155,0.4518
sub006,sub156,0.5536
sub006,sub157,0.5497
sub006,sub158,0.5609
sub006,sub159,0.6556
sub006,sub160,0.5785
sub006,sub161,0.6667
sub006,sub162,0.5981
sub006,sub163,0.6505
sub006,sub164,0.3493
sub006,sub165,0.4520
sub006,sub166,0.6637
sub006,sub167,0.5224
sub006,sub168,0.5297
sub006,sub169,0.7343
sub006,sub170,0.6553
sub006,sub171,0.5941
sub006,sub172,0.5829
